year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost,baseline_prices,baseline_orders,baseline_rewards,rl_prices,rl_orders,rl_actions,rl_rewards,group,type,price_range
2017,8,3,24,26.425311218320264,940.6348837209301,1513.0,0,0,0,0,0,0,0,0,752.5079069767442,940.6348837209301,0.5988190145603767,128.47798964938218,921.8221860465117,0.874905247857896,7,171.2535947566025,electronics,cellphones,C
2017,8,4,25,26.720606636850448,935.9401363636366,1493.0,0,0,0,0,0,0,0,0,748.7521090909094,935.9401363636366,0.134053105023213,28.67511656685264,917.2213336363641,0.40876138058501965,7,79.78606487023598,electronics,cellphones,C
2017,8,5,26,26.720606636850448,935.3719545454547,1496.0,0,0,0,0,0,0,0,0,748.2975636363639,935.3719545454547,0.0,0.0,916.6645154545458,0.12615013946970066,7,24.61032270790572,electronics,cellphones,C
2017,8,6,27,26.720606636850448,935.3719545454547,1496.0,0,0,0,0,0,0,0,0,748.2975636363639,935.3719545454547,0.0,0.0,916.6645154545458,0.0,7,0.0,electronics,cellphones,C
2017,8,0,28,26.720606636850448,935.3719545454547,1496.0,0,0,0,0,0,0,0,0,748.2975636363639,935.3719545454547,0.7826394631501898,167.32440210355168,916.6645154545458,1.0571809713715083,7,206.2428545499871,electronics,cellphones,C
2017,8,1,29,26.720606636850448,934.1588636363637,1495.0,0,0,0,0,0,0,0,0,747.327090909091,934.1588636363637,0.48340476569319435,103.23223790973809,915.4756863636366,0.7575902189719272,7,147.63100148330545,electronics,cellphones,C
2017,8,2,30,29.966606392950233,936.2906382978723,1479.0,0,0,0,0,0,0,0,0,749.0325106382979,936.2906382978723,0.0,0.0,917.5648255319151,0.0,7,0.0,electronics,cellphones,C
2017,8,3,31,29.966606392950233,930.6148226950355,1484.0,0,0,0,0,0,0,0,0,744.4918581560285,930.6148226950355,0.0,0.0,912.0025262411349,0.0,7,0.0,electronics,cellphones,C
2017,9,4,1,29.966606392950233,930.6148226950355,1484.0,0,0,0,0,0,0,0,0,744.4918581560285,930.6148226950355,0.8986150934265424,194.18134997152225,912.0025262411349,1.1717603334077467,7,231.39603698286075,electronics,cellphones,C
2017,9,5,2,29.966606392950233,930.6148226950355,1484.0,0,0,0,0,0,0,0,0,744.4918581560285,930.6148226950355,0.6273810146249161,135.57049426115412,912.0025262411349,0.9005262546061203,7,177.83347035554914,electronics,cellphones,C
2017,9,6,3,29.966606392950233,929.7690248226953,1584.0,0,0,0,0,0,0,0,0,743.8152198581563,929.7690248226953,0.39191466617057813,84.62237593658429,911.1736443262415,0.6648116555788874,7,131.18398045388003,electronics,cellphones,C
2017,9,0,4,30.13650639295024,929.7690248226953,1584.0,0,0,0,0,0,0,0,0,743.8152198581563,929.7690248226953,1.5502736416092375,334.99911390464877,948.3644053191492,1.2773766522009282,9,299.7820233798485,electronics,cellphones,C
2017,9,1,5,30.13650639295024,935.2158333333334,1627.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,1.4259079608355023,309.67822474735925,953.9201500000001,1.1514122758321719,9,271.59972144311274,electronics,cellphones,C
2017,9,2,6,29.966606392950233,935.2158333333334,1626.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,1.1980307408521185,259.9843791907628,916.5115166666669,1.472526425855449,7,292.0100249299447,electronics,cellphones,C
2017,9,3,7,29.088333665677514,935.2158333333334,1626.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,1.1537618504444254,249.36427976277525,916.5115166666669,1.4282575354477558,7,281.97686277273215,electronics,cellphones,C
2017,9,4,8,29.966606392950233,935.2158333333334,1626.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,0.6555625832497753,142.2634874174099,916.5115166666669,0.9300582682531058,7,184.43562935796913,electronics,cellphones,C
