year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2017,6,4,30,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285
2017,7,5,1,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285
2017,7,6,2,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285
2017,7,0,3,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285
2017,7,1,4,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285
2017,7,2,5,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819
2017,7,3,6,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819
2017,7,4,7,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819
2017,7,5,8,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819
2017,7,6,9,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819
2017,7,0,10,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998
2017,7,1,11,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998
2017,7,2,12,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998
2017,7,3,13,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271
2017,7,4,14,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271
2017,7,5,15,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271
2017,7,6,16,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271
2017,7,0,17,27.78540123456791,894.1274999999998,4.0,0,0,0,0,0,0,0,0,715.3019999999999
2017,7,1,18,27.78540123456791,894.1274999999998,3.0,0,0,0,0,0,0,0,0,715.3019999999999
2017,7,2,19,24.128711934156378,899.2230769230767,4.0,0,0,0,0,0,0,0,0,719.3784615384615
2017,7,3,20,24.128711934156378,899.2230769230767,3.0,0,0,0,0,0,0,0,0,719.3784615384615
2017,7,4,21,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615
2017,7,5,22,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615
2017,7,6,23,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615
2017,7,0,24,22.346533950617285,915.7673333333332,9.0,0,0,0,0,0,0,0,0,732.6138666666666
2017,7,1,25,22.346533950617285,915.7673333333332,9.0,0,0,0,0,0,0,0,0,732.6138666666666
2017,7,2,26,22.346533950617285,907.50125,10.0,0,0,0,0,0,0,0,0,726.0010000000001
2017,7,3,27,22.346533950617285,907.50125,10.0,0,0,0,0,0,0,0,0,726.0010000000001
2017,7,4,28,26.913093827160502,901.1188235294117,12.0,0,0,0,0,0,0,0,0,720.8950588235293
2017,7,5,29,26.764827160493827,901.1188235294117,12.0,0,0,0,0,0,0,0,0,720.8950588235293
2017,7,6,30,26.62176049382716,901.1188235294117,15.0,0,0,0,0,0,0,0,0,720.8950588235293
2017,7,0,31,27.14628927823853,921.8219047619046,28.0,0,0,0,0,0,0,0,0,737.4575238095238
2017,8,1,1,27.269423647384176,938.9569565217392,145.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,2,2,27.269423647384176,938.9569565217392,145.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,3,3,27.269423647384176,938.9569565217392,145.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,4,4,27.269423647384176,938.9569565217392,158.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,5,5,27.269423647384176,938.9569565217392,158.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,6,6,27.269423647384176,938.9569565217392,158.0,0,0,0,0,0,0,0,0,751.1655652173914
2017,8,0,7,26.70598128264576,959.7692307692308,218.0,0,0,0,0,0,0,0,0,767.8153846153847
2017,8,1,8,26.70598128264576,950.1477777777777,223.0,0,0,0,0,0,0,0,0,760.1182222222222
2017,8,2,9,27.160408678958273,943.4209090909093,501.0,0,0,0,0,0,0,0,0,754.7367272727274
2017,8,3,10,26.742879487604107,943.768,1506.0,0,0,0,0,0,0,0,0,755.0144
2017,8,4,11,26.742879487604107,951.9397297297297,1526.0,0,0,0,0,0,0,0,0,761.5517837837838
2017,8,5,12,26.742879487604107,951.9397297297297,1526.0,0,0,0,0,0,0,0,0,761.5517837837838
2017,8,6,13,26.742879487604107,951.9397297297297,1526.0,0,0,0,0,0,0,0,0,761.5517837837838
2017,8,0,14,26.363354188430506,952.1615789473683,1531.0,0,0,0,0,0,0,0,0,761.7292631578947
2017,8,1,15,27.15788752176384,952.1615789473683,1530.0,0,0,0,0,0,0,0,0,761.7292631578947
2017,8,2,16,26.363354188430506,943.3745238095239,1510.0,0,0,0,0,0,0,0,0,754.6996190476192
2017,8,3,17,26.363354188430506,943.3745238095239,1509.0,0,0,0,0,0,0,0,0,754.6996190476192
2017,8,4,18,26.363354188430506,943.3745238095239,1506.0,0,0,0,0,0,0,0,0,754.6996190476192
2017,8,5,19,26.363354188430506,943.3745238095239,1506.0,0,0,0,0,0,0,0,0,754.6996190476192
2017,8,6,20,26.363354188430506,943.3745238095239,1506.0,0,0,0,0,0,0,0,0,754.6996190476192
2017,8,0,21,26.363354188430506,943.3745238095239,1506.0,0,0,0,0,0,0,0,0,754.6996190476192
