product_sku,gtin,canonical_sku,qty_orders,gmv,curve
PRDK1N2LFSWNJ161,7010646681979,PRDNUA1YHYK199ZR,12,2966.62,A
PRDKYIMHDQOILBXW,7909389252884,PRDKYIMHDQOILBXW,1,1127.15,A
PRDS8A3PLNX61NEQ,7892509104128,PRDOW8XIVAW4829Q,5,3049.5,A
PRD4B3BTBEG8NU4L,7899495703106,PRD3ASCEU2VB1XKP,245,38830.21,A
PRDSJXDSZ3VO2EYO,7892379021754,PRD32SXFA014S6YQ,14,1082.46,A
PRDT5B7OB9OABW21,2960000221721,PRDZW4J4EWD5NP6O,1,951.77,A
PRDDX0YE6YBXZ1I9,7898623881297,PRDRTO67SKAD3NZY,7,2314.83,A
PRDYND1JMMLMEWHJ,7898664996219,PRDNS44G9FCEHJL2,1,801.46,A
PRD44CVTSDBTPTM2,4103590672766,PRDT48QZISOJ1TPJ,10,1631.82,A
PRDPOYVUCPIMBIGQ,7896502930234,PRDJHUAV96SNHBLC,49,3620.5,A
PRDRXQV245IGVIR4,7909389783180,PRDL33Q0LXCHHIQT,9,1002.08,A
PRDDARINFNDONC7N,7896576405898,PRD89CFFI9Z449RQ,3,6291.98,A
PRD100LI3NRDNQWB,7909463144029,PRDKETTO88WG56KY,5,1483.45,A
PRDR7TC3QFSKS6NM,7898164748257,PRDSAXKXCVF5WSNQ,29,2619.82,A
PRDWR87MXO3MHE0F,2960000010158,PRDXO8WQXGA7YGPC,6,845.52,A
PRDOHZIYBOH94S4P,7319470066786,PRD9WYBUM8LCUKI3,3,775.81,A
PRD0LIXG2X8554RN,7898638891557,PRDWRI0ZY6F0GT82,2,801.96,A
PRDQMRKELGDXODOA,7898952421805,PRDD7K6NSXUYGSCU,6,954.46,A
PRDIQ95J7V1N15SP,7898564041569,PRDEY6Q8GN89KDRC,9,805.6,A
PRDG1ZNBGZMEXAJY,7899744019569,PRDS3G9826Z278AL,43,2319.84,A
PRDGTBEBJELZRQ5M,6941057400297,PRDLOIZU0IQ7F0UP,3,1721.97,A
PRDT6318DB43I4DV,2960000040049,PRDHWQLXZ6EWUA1J,7,1430.76,A
PRDB037LCRKM3SMY,7909389270833,PRDB037LCRKM3SMY,1,842.9,A
PRDHCNIQXZDOMQ8O,7909463677916,PRDV6XPXFTKHL984,9,1172.64,A
PRDBC8BT5JJML01B,619960626351,PRD6L0OTYX89G8ID,17,10237.66,A
PRD04FY9V5A3HOUP,7896812701647,PRDFFU3QPULEIG2D,22,1310.37,A
PRD6N0M7MYFQV9KX,4064222574059,PRDVAWXK6WK9Y425,1,819.77,A
PRD41RHHBF9NQR74,7908243600137,PRDIM5XOLWMUM0HU,478,84126.7,A
PRDRL554REG4D21E,7898080080608,PRDLL5KFMCENYPRV,7,1167.3,A
PRD43Z9NCS4KFJ7X,7909201026150,PRD5LCBUIXLARD9M,2,1116.73,A
PRD8ADOVSNPQEFAS,7891529179970,PRD4FIZ3LG0NSGWK,1,877.52,A
PRDV7ZBYF0E9FGOM,2960000566358,PRDY4PDZ36EQ68VJ,3,1042.71,A
PRD4P0428QBE93VA,797153461429,PRDA5MHPN3957PDB,7,820.5,A
PRD9CM4TZLTNGTIV,7898582393671,PRDQ3B9TYOFCQ0S7,9,889.75,A
PRDU88LZ04592W68,9087301754321,PRDBUDIB3HDSGMLT,8,1809.81,A
PRDFX2IZHIC0W1LX,1832018408511,PRDBZNDMR3KBBLGL,2,1969.69,A
PRD5EZAI4D2QYA3C,7909389621864,PRDDPV5C92UNLG9I,14,2215.03,A
