ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-09,2017,7,6,9,C,907.27375,907.27375,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-09,2017,7,6,9,D,3522.1471428571426,3522.1471428571426,37.81,3522.1471428571426,15.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,A,196.03,196.03,18.64326727092352,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,B,504.8826666666665,504.8826666666665,22.139523809523812,504.8826666666665,92.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,C,898.0539999999997,898.0539999999997,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,A,196.03,196.03,18.64326727092352,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,B,499.8274999999999,499.8274999999999,23.968333333333337,499.8274999999999,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,C,898.0539999999997,898.0539999999997,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,1.0
2017-07-12,2017,7,2,12,A,196.03,196.03,18.64326727092352,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,B,499.8274999999999,499.8274999999999,23.968333333333337,499.8274999999999,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,C,898.0539999999997,898.0539999999997,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,A,197.14333333333337,197.14333333333337,18.619204882908804,197.14333333333337,51.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,C,907.3209090909088,907.3209090909088,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,A,197.14333333333337,197.14333333333337,18.619204882908804,197.14333333333337,72.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,C,907.3209090909088,907.3209090909088,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,A,197.14333333333337,197.14333333333337,18.619204882908804,197.14333333333337,79.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,C,907.3209090909088,907.3209090909088,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,A,197.14333333333337,197.14333333333337,18.619204882908804,197.14333333333337,79.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,C,907.3209090909088,907.3209090909088,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,A,197.878125,197.878125,18.88543780933307,197.878125,79.0,0,0,0,0,0,0,0,0,1.0
2017-07-17,2017,7,0,17,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,C,894.1274999999999,894.1274999999999,27.785401234567907,894.1274999999999,4.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,A,197.878125,197.878125,18.63043780933307,197.878125,87.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,C,894.1274999999999,894.1274999999999,27.785401234567907,894.1274999999999,3.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,D,3547.3340000000003,3547.3340000000003,33.07000000000001,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,A,197.878125,197.878125,18.63043780933307,197.878125,87.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,B,505.5435294117646,505.5435294117646,28.580185185185186,505.5435294117646,102.0,0,0,0,0,0,0,0,0,1.0
2017-07-19,2017,7,2,19,C,899.2230769230767,899.2230769230767,24.12871193415638,899.2230769230767,4.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,19.0,0,0,0,0,0,0,0,0,0.0
