ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-10,2017,7,0,10,A,196.03,196.03,20.0,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,B,504.8826666666665,504.8826666666665,24.0,504.8826666666665,92.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,C,898.0539999999999,898.0539999999999,31.0,898.0539999999999,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-10,2017,7,0,10,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,A,196.03,196.03,20.0,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,B,499.8274999999999,499.8274999999999,24.0,499.8274999999999,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,C,898.0539999999999,898.0539999999999,31.0,898.0539999999999,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2017,7,1,11,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,1.0
2017-07-12,2017,7,2,12,A,196.03,196.03,20.0,196.03,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,B,499.8274999999999,499.8274999999999,24.0,499.8274999999999,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,C,898.0539999999999,898.0539999999999,31.0,898.0539999999999,1.0,0,0,0,0,0,0,0,0,0.0
2017-07-12,2017,7,2,12,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,A,197.14333333333335,197.14333333333335,20.0,197.14333333333335,51.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,93.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,C,907.320909090909,907.320909090909,31.0,907.320909090909,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-13,2017,7,3,13,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,A,197.14333333333335,197.14333333333335,20.0,197.14333333333335,72.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,C,907.320909090909,907.320909090909,31.0,907.320909090909,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-14,2017,7,4,14,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,A,197.14333333333335,197.14333333333335,20.0,197.14333333333335,79.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
