year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost,baseline_prices,baseline_orders,baseline_rewards,rl_prices,rl_orders,rl_actions,rl_rewards,group,type,price_range
2017,6,4,30,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285,931.1842857142856,0.0,0.0,856.6895428571428,0.0,4,0.0,electronics,cellphones,C
2017,7,5,1,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285,931.1842857142856,0.4385465632958585,92.95733673262416,856.6895428571428,1.5317960967663566,4,210.57924807707562,electronics,cellphones,C
2017,7,6,2,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285,931.1842857142856,0.1673124844942322,35.4647014990054,856.6895428571428,1.2605620179647303,4,173.29212579787801,electronics,cellphones,C
2017,7,0,3,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285,931.1842857142856,1.3695773951972114,290.3050160738536,856.6895428571428,2.4628269286677096,4,338.57002500374205,electronics,cellphones,C
2017,7,1,4,25.73,931.1842857142856,0.0,0,0,0,0,0,0,0,0,744.9474285714285,931.1842857142856,1.0983433163960399,232.81238084033126,856.6895428571428,2.191592849866538,4,301.28290272460697,electronics,cellphones,C
2017,7,2,5,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819,907.27375,0.28602771147006933,59.26057989399845,834.6918499999999,1.3512052699129526,4,181.87608026530268,electronics,cellphones,C
2017,7,3,6,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819,907.27375,0.014793632669352519,3.0650150861916345,834.6918499999999,1.0799711911122358,4,145.3672002416016,electronics,cellphones,C
2017,7,4,7,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819,907.27375,0.0,0.0,834.6918499999999,0.8087371123110643,4,108.85832021783933,electronics,cellphones,C
2017,7,5,8,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819,907.27375,0.0,0.0,834.6918499999999,0.5375030335098927,4,72.34944019407706,electronics,cellphones,C
2017,7,6,9,25.73,907.27375,0.0,0,0,0,0,0,0,0,0,725.819,907.27375,0.0,0.0,834.6918499999999,0.2662689547082664,4,35.840560170253575,electronics,cellphones,C
2017,7,0,10,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998,898.0539999999997,0.19526779954367157,40.09644617253714,826.2096799999997,1.2496209835412628,4,166.82000263689642,electronics,cellphones,C
2017,7,1,11,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998,898.0539999999997,0.0,0.0,826.2096799999997,0.9783869047400913,4,130.6112078608974,electronics,cellphones,C
2017,7,2,12,25.73,898.0539999999997,1.0,0,0,0,0,0,0,0,0,718.4431999999998,898.0539999999997,0.0,0.0,826.2096799999997,0.707152825938465,4,94.4024130848377,electronics,cellphones,C
2017,7,3,13,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271,907.3209090909088,0.0,0.0,834.7352363636361,0.6570523314744605,4,88.44483473448288,electronics,cellphones,C
2017,7,4,14,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271,907.3209090909088,0.0,0.0,834.7352363636361,0.38581825267328895,4,51.934419772411054,electronics,cellphones,C
2017,7,5,15,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271,907.3209090909088,0.0,0.0,834.7352363636361,0.11458417387211739,4,15.424004810339214,electronics,cellphones,C
2017,7,6,16,25.73,907.3209090909088,2.0,0,0,0,0,0,0,0,0,725.8567272727271,907.3209090909088,0.0,0.0,834.7352363636361,0.0,4,0.0,electronics,cellphones,C
2017,7,0,17,27.78540123456791,894.1274999999998,4.0,0,0,0,0,0,0,0,0,715.3019999999999,894.1274999999998,0.0,0.0,822.5972999999998,0.20150301061403297,4,27.219167974620124,electronics,cellphones,C
2017,7,1,18,27.78540123456791,894.1274999999998,3.0,0,0,0,0,0,0,0,0,715.3019999999999,894.1274999999998,0.0,0.0,822.5972999999998,0.0,4,0.0,electronics,cellphones,C
2017,7,2,19,24.128711934156378,899.2230769230767,4.0,0,0,0,0,0,0,0,0,719.3784615384615,899.2230769230767,0.0,0.0,827.2852307692306,0.725296987607635,4,95.76493674624508,electronics,cellphones,C
2017,7,3,20,24.128711934156378,899.2230769230767,3.0,0,0,0,0,0,0,0,0,719.3784615384615,899.2230769230767,0.0,0.0,827.2852307692306,0.453513832360386,4,59.87991707065293,electronics,cellphones,C
2017,7,4,21,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615,899.2230769230767,0.0,0.0,827.2852307692306,0.18447605934352396,4,24.357385258831535,electronics,cellphones,C
2017,7,5,22,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615,899.2230769230767,0.0,0.0,827.2852307692306,0.0,4,0.0,electronics,cellphones,C
2017,7,6,23,24.128711934156378,899.2230769230767,7.0,0,0,0,0,0,0,0,0,719.3784615384615,899.2230769230767,0.0,0.0,827.2852307692306,0.0,4,0.0,electronics,cellphones,C
2017,7,0,24,22.346533950617285,915.7673333333332,9.0,0,0,0,0,0,0,0,0,732.6138666666666,915.7673333333332,0.6245865345294987,128.35253323135925,842.5059466666665,1.6997359171955395,4,224.7707217720193,electronics,cellphones,C
